ID,SCORE,OT,FGM,FGA,FGM3,FGA3,FRM,FRA,OR,DR,AST,TO,STL,BLW,PF
20031102,57.25,0.0,19.1428571429,39.7857142857,7.82142857143,20.8214285714,11.1428571429,17.1071428571,4.17857142857,16.8214285714,13.0,11.4285714286,5.96428571429,1.78571428571,18.75
20031103,78.7777777778,0.296296296296,27.1481481481,55.8518518519,5.44444444444,16.0740740741,19.037037037,25.8518518519,9.77777777778,19.9259259259,15.2222222222,12.6296296296,7.25925925926,2.33333333333,19.8518518519
20031104,69.0344827586,0.0344827586207,23.9655172414,57.0,6.31034482759,19.5862068966,14.7931034483,20.7586206897,13.4137931034,23.7931034483,12.1379310345,13.1034482759,6.44827586207,3.86206896552,18.1379310345
20031105,71.7692307692,0.153846153846,24.3846153846,61.6153846154,7.57692307692,20.7692307692,15.4230769231,21.8461538462,13.5,23.1153846154,14.5384615385,18.6538461538,9.30769230769,2.07692307692,20.2307692308
20031106,63.6071428571,0.0357142857143,23.4285714286,55.2857142857,6.10714285714,17.6428571429,10.6428571429,16.4642857143,12.2857142857,23.8571428571,11.6785714286,17.0357142857,8.35714285714,3.14285714286,18.1785714286
20031107,65.9285714286,0.214285714286,24.0357142857,57.4642857143,7.92857142857,22.1785714286,9.92857142857,13.5357142857,8.25,20.25,11.9285714286,12.5714285714,6.85714285714,2.03571428571,15.8928571429
20031108,69.0909090909,0.0606060606061,24.9393939394,58.7272727273,5.21212121212,16.3333333333,14.0,20.9393939394,13.1212121212,23.2121212121,13.8484848485,18.4545454545,8.18181818182,3.51515151515,19.6666666667
20031110,66.3666666667,0.0666666666667,23.1666666667,53.5333333333,8.76666666667,23.1333333333,11.2666666667,16.5333333333,10.0,23.1333333333,14.2333333333,13.1666666667,6.4,1.73333333333,18.1333333333
20031111,83.2692307692,0.153846153846,28.6153846154,64.5,7.19230769231,21.9615384615,18.8461538462,26.1923076923,13.0,25.3076923077,15.2307692308,16.1923076923,9.84615384615,4.61538461538,18.6923076923
20031112,85.15625,0.125,30.40625,65.96875,7.125,20.15625,17.21875,24.28125,14.96875,27.96875,17.78125,14.625,8.5625,4.25,17.46875
20031113,76.2258064516,0.0645161290323,27.3548387097,57.3548387097,4.06451612903,12.7096774194,17.4516129032,25.9677419355,13.6774193548,23.1290322581,15.4838709677,13.7419354839,5.32258064516,4.25806451613,19.4516129032
20031114,70.0357142857,0.25,23.8571428571,53.2142857143,6.78571428571,18.2857142857,15.5357142857,22.4285714286,10.5357142857,22.8571428571,11.5,15.9642857143,6.60714285714,2.35714285714,20.5
20031115,54.5,0.0357142857143,19.25,54.2857142857,4.75,16.8571428571,11.25,17.6071428571,9.96428571429,21.0357142857,10.1785714286,19.1071428571,7.96428571429,2.75,20.25
20031116,61.6428571429,0.0,21.8214285714,55.5714285714,6.07142857143,19.5714285714,11.9285714286,19.5714285714,14.5357142857,23.4285714286,9.82142857143,16.6785714286,6.46428571429,3.53571428571,20.9285714286
20031117,71.1153846154,0.0384615384615,23.6923076923,54.6923076923,7.92307692308,21.3461538462,15.8076923077,21.4230769231,10.9615384615,20.3846153846,11.9230769231,13.2692307692,7.15384615385,1.65384615385,21.4230769231
